Order,Game,Victor,WinProbability,Confidence,FanProb,DogProb,FavConf,DogConf,Underdog
1,Pittsburgh@New England,@New England,0.665443485,15,0.43,0.57,10,5,Pittsburgh
2,Green Bay@Chicago,Green Bay,0.686003825,16,0.91,0.09,10,5,@ Buffalo
3,Kansas City@Houston,@Houston,0.536680378,1,0.54,0.46,10,5,@ Chicago
4,Cleveland@N.Y. Jets,@N.Y. Jets,0.590517262,8,0.69,0.31,10,5,@ St. Louis
5,Indianapolis@Buffalo,Indianapolis,0.587840375,6,0.84,0.16,10,5,Cleveland
6,Miami@Washington,Miami,0.600513,10,0.79,0.21,10,5,@ Washington
7,Carolina@Jacksonville,Carolina,0.596043502,9,0.82,0.18,10,5,@ Jacksonville
8,Seattle@St. Louis,Seattle,0.610734546,12,0.88,0.12,10,5,Kansas City
9,New Orleans@Arizona,@Arizona,0.584595571,4,0.69,0.31,10,5,New Orleans
10,Detroit@San Diego,@San Diego,0.57369534,3,0.7,0.3,10,5,Detroit
11,Tennessee@Tampa Bay,@Tampa Bay,0.590464802,7,0.72,0.28,10,5,Baltimore
12,Cincinnati@Oakland,Cincinnati,0.606098544,11,0.77,0.23,10,5,@ Oakland
13,Baltimore@Denver,@Denver,0.627518461,13,0.9,0.1,10,5,Tennessee
14,N.Y. Giants@Dallas,@Dallas,0.659043055,14,0.85,0.15,10,5,New York (NYG)
15,Philadelphia@Atlanta,Philadelphia,0.585629471,5,0.64,0.36,10,5,@ Atlanta
16,Minnesota@San Francisco,Minnesota,0.569571703,2,0.39,0.61,10,5,Minnesota
